context_3,context_2,context_1,response
,,,Оо топчик
,,Оо топчик,Живи здесь и сейчас
,Оо топчик,Живи здесь и сейчас,Меня командир не так поймет
,,,"У меня есть кокаин, но нет шлюх и вроде я жива"
,,"У меня есть кокаин, но нет шлюх и вроде я жива",Ой мать) откуда он у тебя?)))
,"У меня есть кокаин, но нет шлюх и вроде я жива",Ой мать) откуда он у тебя?))),"Знакомые берут на отдых, да и у меня достаточно финансов, чтобы позволить себе отдохнуть"
"У меня есть кокаин, но нет шлюх и вроде я жива",Ой мать) откуда он у тебя?))),"Знакомые берут на отдых, да и у меня достаточно финансов, чтобы позволить себе отдохнуть","Ок, сделаем вид, что все поверили"
Ой мать) откуда он у тебя?))),"Знакомые берут на отдых, да и у меня достаточно финансов, чтобы позволить себе отдохнуть","Ок, сделаем вид, что все поверили",Сделай)
"Знакомые берут на отдых, да и у меня достаточно финансов, чтобы позволить себе отдохнуть","Ок, сделаем вид, что все поверили",Сделай),"ок, это прям невероятно много. Я прям завидую аж до....похера"
"Ок, сделаем вид, что все поверили",Сделай),"ок, это прям невероятно много. Я прям завидую аж до....похера",Деньги это не такой ценный ресурс))) просто в моменте могу позволить себе чуть больше
,,,Найдем
,,Найдем,Они мне не нужны 😂
,Найдем,Они мне не нужны 😂,Вдруг понравится 😂
Найдем,Они мне не нужны 😂,Вдруг понравится 😂,Я к девушкам не испытываю сексуального влечения
Они мне не нужны 😂,Вдруг понравится 😂,Я к девушкам не испытываю сексуального влечения,Ну вдруг появятся 😂
Вдруг понравится 😂,Я к девушкам не испытываю сексуального влечения,Ну вдруг появятся 😂,"Если бы появилось, я бы уже давно переспала с девушкой💁🏼‍♀️"
Я к девушкам не испытываю сексуального влечения,Ну вдруг появятся 😂,"Если бы появилось, я бы уже давно переспала с девушкой💁🏼‍♀️","Надо тебя с моими подругами познакомить,быстро попробуешь😂"
Ну вдруг появятся 😂,"Если бы появилось, я бы уже давно переспала с девушкой💁🏼‍♀️","Надо тебя с моими подругами познакомить,быстро попробуешь😂",У меня куча знакомых лезбух
"Если бы появилось, я бы уже давно переспала с девушкой💁🏼‍♀️","Надо тебя с моими подругами познакомить,быстро попробуешь😂",У меня куча знакомых лезбух,Да я понял не так прочитал
,,,Я просто шлюх хочу
,,Я просто шлюх хочу,😂
,,,Но я душнила
,,Но я душнила,Подушнить и я люблю😂
,Но я душнила,Подушнить и я люблю😂,И вредина пиздец какая
Но я душнила,Подушнить и я люблю😂,И вредина пиздец какая,Ну ты же дева😂
,,,"Оооо блять как я понимаю,как я сука понимааааю"
,,"Оооо блять как я понимаю,как я сука понимааааю",
,,,😎
,,,Ну хз
,,Ну хз,"Не решай за меня, пожалуйста)"
,Ну хз,"Не решай за меня, пожалуйста)","Я не решаю, просто предложил"
Ну хз,"Не решай за меня, пожалуйста)","Я не решаю, просто предложил",Ну это то же самое что сказать парню с парнем вдруг понравится🤷‍♀️
,,,"Я хотела генг бенг, я его замутила, осуществила мечту🥲"
,,"Я хотела генг бенг, я его замутила, осуществила мечту🥲",И со сколько партнёров было?
,"Я хотела генг бенг, я его замутила, осуществила мечту🥲",И со сколько партнёров было?,"По-братски, мужик, харе бл. Она сейчас будет час о своих неудовлетворенных фантазиях вещать. Это так скучно🥱"
"Я хотела генг бенг, я его замутила, осуществила мечту🥲",И со сколько партнёров было?,"По-братски, мужик, харе бл. Она сейчас будет час о своих неудовлетворенных фантазиях вещать. Это так скучно🥱",Ты какой то обиженный жизнью мальчик🤣
И со сколько партнёров было?,"По-братски, мужик, харе бл. Она сейчас будет час о своих неудовлетворенных фантазиях вещать. Это так скучно🥱",Ты какой то обиженный жизнью мальчик🤣,"Хз, я вроде не обижался. Просто это уныло обсуждать с кем ты спишь"
"По-братски, мужик, харе бл. Она сейчас будет час о своих неудовлетворенных фантазиях вещать. Это так скучно🥱",Ты какой то обиженный жизнью мальчик🤣,"Хз, я вроде не обижался. Просто это уныло обсуждать с кем ты спишь","Я не обсуждала с кем я сплю) 
Я лишь упомянула о том, что воплощаю фантазии в реальность"
Ты какой то обиженный жизнью мальчик🤣,"Хз, я вроде не обижался. Просто это уныло обсуждать с кем ты спишь","Я не обсуждала с кем я сплю) 
Я лишь упомянула о том, что воплощаю фантазии в реальность",Так жизнь на это и дана)
,,,"Я бля
Я лохонулся
Соррян"
,,"Я бля
Я лохонулся
Соррян",Меня познакомь😂
,"Я бля
Я лохонулся
Соррян",Меня познакомь😂,Хех
"Я бля
Я лохонулся
Соррян",Меня познакомь😂,Хех,"И были девушки которые пытались добиться меня, но это жоска"
,,,Да пусть вещает че тебе)
,,Да пусть вещает че тебе),"Бро, если бы мне кайф было такое читать, я бы бонгакамс посмотрел. Тоже кстати бесплатно"
,Да пусть вещает че тебе),"Бро, если бы мне кайф было такое читать, я бы бонгакамс посмотрел. Тоже кстати бесплатно","Не знаю мне просто насрать,типо хочет рассказывает не хочет не рассказывает,иногда тут такую хуйню несут что я рот того ебал,а тут хотя бы интересно"
,,,Как будто ты за это деньги платишь
,,Как будто ты за это деньги платишь,Всем доброе утро как вы
,Как будто ты за это деньги платишь,Всем доброе утро как вы,Каждый по своему это видит
Как будто ты за это деньги платишь,Всем доброе утро как вы,Каждый по своему это видит,Если захочу😀
,,,"Простите ребят. Я люблю делать наоборот все. Не обижайтесь, базарьте че по кайфу, у меня юмор такой"
,,"Простите ребят. Я люблю делать наоборот все. Не обижайтесь, базарьте че по кайфу, у меня юмор такой",Понимаю
,"Простите ребят. Я люблю делать наоборот все. Не обижайтесь, базарьте че по кайфу, у меня юмор такой",Понимаю,Я угараю и все. Над ней. Над тобой. Над собой. Это на будущее
"Простите ребят. Я люблю делать наоборот все. Не обижайтесь, базарьте че по кайфу, у меня юмор такой",Понимаю,Я угараю и все. Над ней. Над тобой. Над собой. Это на будущее,Знаю
,,,Всего лишь
,,Всего лишь,Не удивил
,,,Просто тут че то в серьез воспринимают эту хрень.
,,Просто тут че то в серьез воспринимают эту хрень.,Та я не
,,,Кыс
,,,Вы нашли друг друга ❤️
,,Вы нашли друг друга ❤️,🥥неси
,Вы нашли друг друга ❤️,🥥неси,Будем праздновать
Вы нашли друг друга ❤️,🥥неси,Будем праздновать,"Хуля, раз бабки есть"
,,,Точно
,,Точно,И кокаин
,,,"Не, это ваш праздник жизни
И за незнакомых парней я точно не плачу 😀 да и вообще за парней, хватит с меня милосердия"
,,"Не, это ваш праздник жизни
И за незнакомых парней я точно не плачу 😀 да и вообще за парней, хватит с меня милосердия","Ну, если я кокос возьму, то одной оргией ты не расплатишься"
,"Не, это ваш праздник жизни
И за незнакомых парней я точно не плачу 😀 да и вообще за парней, хватит с меня милосердия","Ну, если я кокос возьму, то одной оргией ты не расплатишься",Я и не собираюсь тебе ничем платить 😀🤝
"Не, это ваш праздник жизни
И за незнакомых парней я точно не плачу 😀 да и вообще за парней, хватит с меня милосердия","Ну, если я кокос возьму, то одной оргией ты не расплатишься",Я и не собираюсь тебе ничем платить 😀🤝,"Придется, хуле, кокос дорогой сейчас"
"Ну, если я кокос возьму, то одной оргией ты не расплатишься",Я и не собираюсь тебе ничем платить 😀🤝,"Придется, хуле, кокос дорогой сейчас",Ты это можешь предложить кому нибудь другому) я тебя никак не касаюсь ☺️
Я и не собираюсь тебе ничем платить 😀🤝,"Придется, хуле, кокос дорогой сейчас",Ты это можешь предложить кому нибудь другому) я тебя никак не касаюсь ☺️,"Мать, ты заднюю не включай, ок?"
"Придется, хуле, кокос дорогой сейчас",Ты это можешь предложить кому нибудь другому) я тебя никак не касаюсь ☺️,"Мать, ты заднюю не включай, ок?","Ты так можешь разговаривать со своим окружением)
Таких, как ты я не воспринимаю)) не интересны"
Ты это можешь предложить кому нибудь другому) я тебя никак не касаюсь ☺️,"Мать, ты заднюю не включай, ок?","Ты так можешь разговаривать со своим окружением)
Таких, как ты я не воспринимаю)) не интересны",😑 абидна
,,,Я вам по пробке подарю
,,Я вам по пробке подарю,😆 базара нет)
,Я вам по пробке подарю,😆 базара нет),Только новые?
Я вам по пробке подарю,😆 базара нет),Только новые?,"Нет, я стирала их лаской"
😆 базара нет),Только новые?,"Нет, я стирала их лаской","не, это не гигиенично"
,,,Со стразиком
,,Со стразиком,"Шо шо
Я сейчас на 90 процентов сплю"
,Со стразиком,"Шо шо
Я сейчас на 90 процентов сплю","Или, так и быть, интерактивную пробку
На расстоянии управлять"
,,,Мне это не нужно
,,Мне это не нужно,Поздно
,Мне это не нужно,Поздно,"Не не не, не нужно"
,,,Надо было в лс 😈
,,Надо было в лс 😈,В лс я могу только палец велоцираптора скинуть
,Надо было в лс 😈,В лс я могу только палец велоцираптора скинуть,Хахахвхахахаххахааха
,,,Где сиси 👀🤣
,,Где сиси 👀🤣,Ашалеть
,Где сиси 👀🤣,Ашалеть,Это тебе не пилсы дешевые
,,,Всем доброе утречко
,,Всем доброе утречко,Доброе
,Всем доброе утречко,Доброе,Где вы взяли этот ник?
Всем доброе утречко,Доброе,Где вы взяли этот ник?,"Сама написала 
А что?"
Доброе,Где вы взяли этот ник?,"Сама написала 
А что?",Похоже на болезнь какую-то
Где вы взяли этот ник?,"Сама написала 
А что?",Похоже на болезнь какую-то,Мда уж🤦‍♀ господи обычные ники и тут блин думают что больная мда уж треш🤦‍♀🤦‍♀🤦‍♀
"Сама написала 
А что?",Похоже на болезнь какую-то,Мда уж🤦‍♀ господи обычные ники и тут блин думают что больная мда уж треш🤦‍♀🤦‍♀🤦‍♀,Ваще пипец. Люди они такие 🤷‍♂
Похоже на болезнь какую-то,Мда уж🤦‍♀ господи обычные ники и тут блин думают что больная мда уж треш🤦‍♀🤦‍♀🤦‍♀,Ваще пипец. Люди они такие 🤷‍♂,Во во копец
,,,Хотя ты и говоришь европейские
,,,Но все равно они дешевые
,,Но все равно они дешевые,"Суть не в бабках, а в кайфе"
,Но все равно они дешевые,"Суть не в бабках, а в кайфе","Если честно, так себе от них кайф"
Но все равно они дешевые,"Суть не в бабках, а в кайфе","Если честно, так себе от них кайф",Каждому своё)
,,,Доброе
,,Доброе,Что за херня тут происходит?
,,,Я в шоке с происходящего
,,Я в шоке с происходящего,Это она еще пробку тебе не подарила..хо-хо
,Я в шоке с происходящего,Это она еще пробку тебе не подарила..хо-хо,Не нужно
,,,"Сейчас бы поспать, а не это все"
,,"Сейчас бы поспать, а не это все","Бро, в чем проблема тогда?"
,"Сейчас бы поспать, а не это все","Бро, в чем проблема тогда?",Наряд
"Сейчас бы поспать, а не это все","Бро, в чем проблема тогда?",Наряд,Бл я забыл. А у тебя автомат есть?
"Бро, в чем проблема тогда?",Наряд,Бл я забыл. А у тебя автомат есть?,Ну
,,,Давайте про наркоту свою разговоры заканчивайте
,,Давайте про наркоту свою разговоры заканчивайте,Истина говоришь бро
,,,"Это не моя наркота, а общая"
,,"Это не моя наркота, а общая",Общая👀 ну ты даёшь
,,,Давайте поговорим про Бога
,,Давайте поговорим про Бога,Какого именно?
,Давайте поговорим про Бога,Какого именно?,Любого
Давайте поговорим про Бога,Какого именно?,Любого,Говори
,,,В бан за общую пойти можешь именно ты
,,В бан за общую пойти можешь именно ты,Мяу
,В бан за общую пойти можешь именно ты,Мяу,Это все ты виновата
,,,"Кто то в бан, а я пойду в ванную"
,,"Кто то в бан, а я пойду в ванную",Приятного
,,,"С кальяном, хахаха 
Я не могу остановиться"
,,"С кальяном, хахаха 
Я не могу остановиться",Кальян тема😈
,"С кальяном, хахаха 
Я не могу остановиться",Кальян тема😈,++
"С кальяном, хахаха 
Я не могу остановиться",Кальян тема😈,++,Как тя звать ?
Кальян тема😈,++,Как тя звать ?,Аля
,,,"Кто-то пойдёт в ванную, а кто-то идёт на работу 😢"
,,"Кто-то пойдёт в ванную, а кто-то идёт на работу 😢",Сторону работы😈
,"Кто-то пойдёт в ванную, а кто-то идёт на работу 😢",Сторону работы😈,Что-то меня напрягать стало второй день подряд просыпаться из-за неё в 4 утра 😃😃😃
"Кто-то пойдёт в ванную, а кто-то идёт на работу 😢",Сторону работы😈,Что-то меня напрягать стало второй день подряд просыпаться из-за неё в 4 утра 😃😃😃,😳👀
,,,"Эх, не травм душу
А кто-то через пол часа спать"
,,,Про кальян можна?
,,Про кальян можна?,Только осторожно
,Про кальян можна?,Только осторожно,"Не интересно, я не курю🥱"
Про кальян можна?,Только осторожно,"Не интересно, я не курю🥱",🤷‍♀️И я
Только осторожно,"Не интересно, я не курю🥱",🤷‍♀️И я,Сигареты?
"Не интересно, я не курю🥱",🤷‍♀️И я,Сигареты?,"Ничего не курю, не умею даже 🤷‍♀️"
🤷‍♀️И я,Сигареты?,"Ничего не курю, не умею даже 🤷‍♀️",Хотите научу?
,,,Поддерживаю
,,,Брось её
,,Брось её,"Не могу….
Она мне денЮжки платит)"
,Брось её,"Не могу….
Она мне денЮжки платит)",Я бросил и не жалуюсь
Брось её,"Не могу….
Она мне денЮжки платит)",Я бросил и не жалуюсь,"Это перспективные планы)))
Нужно сначала пассивочку фундаментальную замутить.
Потом можно либо работать в своё удовольствие, либо вообще не работать)))
Я пока работаю над этим"
"Не могу….
Она мне денЮжки платит)",Я бросил и не жалуюсь,"Это перспективные планы)))
Нужно сначала пассивочку фундаментальную замутить.
Потом можно либо работать в своё удовольствие, либо вообще не работать)))
Я пока работаю над этим",Я просто в армию пошел 😂
Я бросил и не жалуюсь,"Это перспективные планы)))
Нужно сначала пассивочку фундаментальную замутить.
Потом можно либо работать в своё удовольствие, либо вообще не работать)))
Я пока работаю над этим",Я просто в армию пошел 😂,"Ну…)))
Каждому своё"
,,,А денЮжки я люблю
,,А денЮжки я люблю,Ля вы психи)
,,,Одноразовые?
,,Одноразовые?,Что одноразовые?
,Одноразовые?,Что одноразовые?,Сигареты
Одноразовые?,Что одноразовые?,Сигареты,Че там с автоматом?
Что одноразовые?,Сигареты,Че там с автоматом?,Все окей
,,,Никакие 🤷‍♀️
,,,"Я не умею курить сигареты, но кальян это ахуенная атмосфера"
,,"Я не умею курить сигареты, но кальян это ахуенная атмосфера",Сиги так как и кальян)
,"Я не умею курить сигареты, но кальян это ахуенная атмосфера",Сиги так как и кальян),Вообще нет🤦🏼‍♀️
"Я не умею курить сигареты, но кальян это ахуенная атмосфера",Сиги так как и кальян),Вообще нет🤦🏼‍♀️,"Да, и то и то курил одинаково. Мне сиги поярче"
,,,Думаю перебрать
,,Думаю перебрать,"Ну, он хотя бы пахнет приятно"
,,,И сиги и кальян - шлак)
,,И сиги и кальян - шлак),"Кальян то чем тебе не угодил?с сигами согласен,а кальян это тема)"
,И сиги и кальян - шлак),"Кальян то чем тебе не угодил?с сигами согласен,а кальян это тема)",Кальян полезен?)
,,,"Нет, слово похоже на болезнь. На ""ца"" заканчивается. Вы нормальная, я о вас не судил"
,,"Нет, слово похоже на болезнь. На ""ца"" заканчивается. Вы нормальная, я о вас не судил",Спасибо хоть на этом
,,,Бейте меня! 😃😃😃
,,,"Половина продуктов , что ты ешь тоже шлак"
,,"Половина продуктов , что ты ешь тоже шлак","Я стараюсь за этим следить)
Да и сознательно всякую херату в себя пихать - так себе удовольствие"
,,,Точняк. Гарик рулит
,,Точняк. Гарик рулит,Но почему то об этом умалчивается )
,,,Ну мне кальян вообще не заходит
,,Ну мне кальян вообще не заходит,"Если он не заходит тебе, то это не значит что он хуйня"
,Ну мне кальян вообще не заходит,"Если он не заходит тебе, то это не значит что он хуйня",Я разные пробовал
Ну мне кальян вообще не заходит,"Если он не заходит тебе, то это не значит что он хуйня",Я разные пробовал,Я тебе не об этом вообще
"Если он не заходит тебе, то это не значит что он хуйня",Я разные пробовал,Я тебе не об этом вообще,"Я короче сыпал в кальян просто траву, вообще на выходе ничего. А трава норм"
Я разные пробовал,Я тебе не об этом вообще,"Я короче сыпал в кальян просто траву, вообще на выходе ничего. А трава норм","Хз, у меня друзья забивали, курили им заебись было"
,,,Дня чатлане 👋
,,Дня чатлане 👋,У меня только утро😴🥱
,Дня чатлане 👋,У меня только утро😴🥱,А я уж пообедал. Ты откуда?
Дня чатлане 👋,У меня только утро😴🥱,А я уж пообедал. Ты откуда?,"Позавтракать бы….
А он уже пообедал"
У меня только утро😴🥱,А я уж пообедал. Ты откуда?,"Позавтракать бы….
А он уже пообедал","Ну, дык полпервого уже 🤷‍♂😂"
А я уж пообедал. Ты откуда?,"Позавтракать бы….
А он уже пообедал","Ну, дык полпервого уже 🤷‍♂😂",Что тут за сборище нариков у тебя прям сранья?))
"Позавтракать бы….
А он уже пообедал","Ну, дык полпервого уже 🤷‍♂😂",Что тут за сборище нариков у тебя прям сранья?)),"Фиг знает. Ксюху знаю, остальных нет 🤷‍♂"
"Ну, дык полпервого уже 🤷‍♂😂",Что тут за сборище нариков у тебя прям сранья?)),"Фиг знает. Ксюху знаю, остальных нет 🤷‍♂",Мда….
,,,🤭Лучше рюмку бахнуть и спать идти
,,🤭Лучше рюмку бахнуть и спать идти,"Бро, они против гарика, грозят мне баном🥱"
,,,Здарова ёшкин Кот
,,Здарова ёшкин Кот,Мигалкин 🤝🤝🤝 здарова 😁
,Здарова ёшкин Кот,Мигалкин 🤝🤝🤝 здарова 😁,Как поживаешь ? Дела как ?
Здарова ёшкин Кот,Мигалкин 🤝🤝🤝 здарова 😁,Как поживаешь ? Дела как ?,Сам как?
Мигалкин 🤝🤝🤝 здарова 😁,Как поживаешь ? Дела как ?,Сам как?,Как на Марсе😈
Как поживаешь ? Дела как ?,Сам как?,Как на Марсе😈,Жарко и красно?
Сам как?,Как на Марсе😈,Жарко и красно?,😂👍
,,,Бля
,,,А о чем?
,,А о чем?,Забей)
,А о чем?,Забей),Ок)
,,,Лиеее
,,Лиеее,Здарова Андрюха 🤝🤝🤝😁
,,,Шишки?
,,Шишки?,Че я ебнутый шишки переводить?)
,Шишки?,Че я ебнутый шишки переводить?),😂😂
Шишки?,Че я ебнутый шишки переводить?),😂😂,"Травы было нормально прям и днюха, все дела. И просто перевел ее. Но похер"
Че я ебнутый шишки переводить?),😂😂,"Травы было нормально прям и днюха, все дела. И просто перевел ее. Но похер","Я как то пыталась научиться банки без сигарет делать, хотела попробовать ну и шарик грамма 3 просто сожгла"
😂😂,"Травы было нормально прям и днюха, все дела. И просто перевел ее. Но похер","Я как то пыталась научиться банки без сигарет делать, хотела попробовать ну и шарик грамма 3 просто сожгла","там есть какая-то схема, я не профи."
"Травы было нормально прям и днюха, все дела. И просто перевел ее. Но похер","Я как то пыталась научиться банки без сигарет делать, хотела попробовать ну и шарик грамма 3 просто сожгла","там есть какая-то схема, я не профи.",Ну я на свою бабочку насаживала плюхи а они падали
,,,"Қыздар мені танымаса, анал түрінде жазаланады"
,,"Қыздар мені танымаса, анал түрінде жазаланады","Не, в анал кыздар тут не дают, и сиськи тож не сбрасывают.
Не будешь писать по русски - удалю сообщения."
,,,Какой анал
,,Какой анал,Туриндэшный 😂
,,,Емае
,,,"С раннего утра ебут мозг, но жопу пока удаётся выкрутить 🤦‍♂"
,,"С раннего утра ебут мозг, но жопу пока удаётся выкрутить 🤦‍♂",Держись братка
,,,О ужас
,,О ужас,О чем он или она ?
,О ужас,О чем он или она ?,Я там поняла слово только что написал он или она анал и все😂😂
О ужас,О чем он или она ?,Я там поняла слово только что написал он или она анал и все😂😂,Плюс
,,,"Донецк
А ты"
,,"Донецк
А ты",А лет сколько? Для статистики
,"Донецк
А ты",А лет сколько? Для статистики,А тебе? 👀
"Донецк
А ты",А лет сколько? Для статистики,А тебе? 👀,"Я тут очень древний демон, за сорок уже 😁"
А лет сколько? Для статистики,А тебе? 👀,"Я тут очень древний демон, за сорок уже 😁",Ясненько😁
,,,Обидно
,,Обидно,Ещ бэл ту сунхуй в очёчас хотец?
,,,Мен де Донецктенмін
,,Мен де Донецктенмін,Че? Пиши на русском
,Мен де Донецктенмін,Че? Пиши на русском,Может не знает русский
Мен де Донецктенмін,Че? Пиши на русском,Может не знает русский,"Походу не знает, его то я точно не поняла"
,,,Сложн
,,,Якутск
,,Якутск,Понятненько
,,,Попробовала
,,,Мои соболезнования
,,Мои соболезнования,"Да эт похуй, не умела и нехер было начинать"
,,,Че за шарики ?
,,Че за шарики ?,С гелием
,Че за шарики ?,С гелием,👀
Че за шарики ?,С гелием,👀,Что?
С гелием,👀,Что?,Не шарю🤣
,,,Я вообще с Киева
,,,Анальные
,,Анальные,Ой бля
,,,Да чтож ты опять туда лезешь?
,,Да чтож ты опять туда лезешь?,Люблю в жопу
,Да чтож ты опять туда лезешь?,Люблю в жопу,"Надеюсь, в свою"
Да чтож ты опять туда лезешь?,Люблю в жопу,"Надеюсь, в свою","Был момент один, но…. Я потом долго спать не могла, плакала ночами
А в свою, да"
Люблю в жопу,"Надеюсь, в свою","Был момент один, но…. Я потом долго спать не могла, плакала ночами
А в свою, да","Бля, то есть ты кого-то долбила и плакала потом?"
"Надеюсь, в свою","Был момент один, но…. Я потом долго спать не могла, плакала ночами
А в свою, да","Бля, то есть ты кого-то долбила и плакала потом?",😂я не знаю как я на это согласилась.
"Был момент один, но…. Я потом долго спать не могла, плакала ночами
А в свою, да","Бля, то есть ты кого-то долбила и плакала потом?",😂я не знаю как я на это согласилась.,Боюсь подумать от чего ты плакала😁 надеюсь никто не обосрался😂😂😂
"Бля, то есть ты кого-то долбила и плакала потом?",😂я не знаю как я на это согласилась.,Боюсь подумать от чего ты плакала😁 надеюсь никто не обосрался😂😂😂,Я не фанат мужчин любящих страпон
😂я не знаю как я на это согласилась.,Боюсь подумать от чего ты плакала😁 надеюсь никто не обосрался😂😂😂,Я не фанат мужчин любящих страпон,"Да я угараю, честно, это пздц"
Боюсь подумать от чего ты плакала😁 надеюсь никто не обосрался😂😂😂,Я не фанат мужчин любящих страпон,"Да я угараю, честно, это пздц",Азазза
,,,Азаха
,,Азаха,26 скоро будет
,Азаха,26 скоро будет,"Шикарно
Ахааза"
,,,"Привет Ксю, опять трава и жопы 😂👍👍👍"
,,"Привет Ксю, опять трава и жопы 😂👍👍👍",Привет😀 молодость она такая
,"Привет Ксю, опять трава и жопы 😂👍👍👍",Привет😀 молодость она такая,Главное не переусердствовать 😂😂😂
"Привет Ксю, опять трава и жопы 😂👍👍👍",Привет😀 молодость она такая,Главное не переусердствовать 😂😂😂,Ну если что на похороны скиньтесь
Привет😀 молодость она такая,Главное не переусердствовать 😂😂😂,Ну если что на похороны скиньтесь,Венок от Беседки 😉
Главное не переусердствовать 😂😂😂,Ну если что на похороны скиньтесь,Венок от Беседки 😉,Из челенов
Ну если что на похороны скиньтесь,Венок от Беседки 😉,Из челенов,"Ок, если что у Кэт закупимся, сплетём, включим... вибрирующий венок это прикольно будет 😂😂😂"
Венок от Беседки 😉,Из челенов,"Ок, если что у Кэт закупимся, сплетём, включим... вибрирующий венок это прикольно будет 😂😂😂",Я представляю как он прыгать будет😂😂😂
Из челенов,"Ок, если что у Кэт закупимся, сплетём, включим... вибрирующий венок это прикольно будет 😂😂😂",Я представляю как он прыгать будет😂😂😂,
"Ок, если что у Кэт закупимся, сплетём, включим... вибрирующий венок это прикольно будет 😂😂😂",Я представляю как он прыгать будет😂😂😂,,Дрожь земли😂
Я представляю как он прыгать будет😂😂😂,,Дрожь земли😂,Часть пятая - дилдориум
,Дрожь земли😂,Часть пятая - дилдориум,Ахаахаххахахахахахаха
,,,Сииськи
,,Сииськи,"Главное, чтоб Иннокентия из тумбочки не достала 😂"
,Сииськи,"Главное, чтоб Иннокентия из тумбочки не достала 😂",Доброе утро) Был уже😂
Сииськи,"Главное, чтоб Иннокентия из тумбочки не достала 😂",Доброе утро) Был уже😂,"Привет Кэт, я  со вчера не заходил 🤦‍♂"
"Главное, чтоб Иннокентия из тумбочки не достала 😂",Доброе утро) Был уже😂,"Привет Кэт, я  со вчера не заходил 🤦‍♂",И хорошо😂
,,,"Ну, ты пропустил. Еще мы кокос нюхали, шлюхи были и пилсы"
,,"Ну, ты пропустил. Еще мы кокос нюхали, шлюхи были и пилсы","Во я заработался, всё самое вкусное пропустил 😒"
,"Ну, ты пропустил. Еще мы кокос нюхали, шлюхи были и пилсы","Во я заработался, всё самое вкусное пропустил 😒","Да, это пздц"
,,,"Как по мне, это идеальный баланс"
,,,"А, ну еще автомат у Михи, но он не дает его"
,,"А, ну еще автомат у Михи, но он не дает его",Оружие не передается)
,,,"Оу, ну держись
Пзазажза"
,,,Он на тумбочке у телевизора
,,Он на тумбочке у телевизора,На свободу выпустила? 👍😁
,Он на тумбочке у телевизора,На свободу выпустила? 👍😁,Да мы с друзьями игрались
,,,Ещё будешь в жопу?
,,Ещё будешь в жопу?,Как найду интересного для себя партнёра то да
,Ещё будешь в жопу?,Как найду интересного для себя партнёра то да,Интересно
,,,"Азаза
Ахазза
Огр"
,,,Моего в магазине Игнат зовут😂
,,Моего в магазине Игнат зовут😂,"Это заговор такой дилдо на И назавать?
Илларион, Ициофан, Исмаил... 😂"
,Моего в магазине Игнат зовут😂,"Это заговор такой дилдо на И назавать?
Илларион, Ициофан, Исмаил... 😂",Я не знаю  я пришла уже было имя😂
,,,Сука! Ура бля! 100% батарейка!!!!!!🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🤩🤩🤩🤩🤩🤩🤩
,,,Есть Девушка на встречу 22см
,,Есть Девушка на встречу 22см,"Девушка 22 сантиметра? 😳
Фею полевую ищешь?"
,Есть Девушка на встречу 22см,"Девушка 22 сантиметра? 😳
Фею полевую ищешь?",😁
,,,Ахахаха
,,,А если у девушки 23?
,,А если у девушки 23?,Как то это страшно прозвучало 😳
,А если у девушки 23?,Как то это страшно прозвучало 😳,🤣🤣🤣🤣🤣
,,,Тогда очевидно она тайка
,,Тогда очевидно она тайка,С Тайланда
,Тогда очевидно она тайка,С Тайланда,Ну я так и сказал
Тогда очевидно она тайка,С Тайланда,Ну я так и сказал,"А, я ещё сплю 😂"
,,,Ой
,,,Меня вот с 8 марта поздравляли😂😂😂
,,Меня вот с 8 марта поздравляли😂😂😂,Минимум два на операцию надо
,,,Может чтоб у нее 22 см было
,,Может чтоб у нее 22 см было,"Так пора уже вставать, утро😁😂"
,Может чтоб у нее 22 см было,"Так пора уже вставать, утро😁😂",Ахаза
Может чтоб у нее 22 см было,"Так пора уже вставать, утро😁😂",Ахаза,А на работу не надо?)
"Так пора уже вставать, утро😁😂",Ахаза,А на работу не надо?),Хах
,,,Нах я открыл
,,Нах я открыл,Мне тоже страшно было от такого подарка😂
,Нах я открыл,Мне тоже страшно было от такого подарка😂,"Зачем именно тебе👀, подозрительно😂"
Нах я открыл,Мне тоже страшно было от такого подарка😂,"Зачем именно тебе👀, подозрительно😂","Ну так где я работаю, вот и прислали в тему😂"
,,,Прости😁 Я не хотела😅
,,Прости😁 Я не хотела😅,"Ахаза
Ну чем больше, тем лучше"
,,,"Красиво же, ну"
,,"Красиво же, ну","Да, произведение искусства"
,,,"Ага😁 Я думала, ты не догадаешься об этом😂"
,,"Ага😁 Я думала, ты не догадаешься об этом😂",Ахахаха ля коварная девушка какая 😁
,"Ага😁 Я думала, ты не догадаешься об этом😂",Ахахаха ля коварная девушка какая 😁,
"Ага😁 Я думала, ты не догадаешься об этом😂",Ахахаха ля коварная девушка какая 😁,,
Ахахаха ля коварная девушка какая 😁,,,
,,,"И не пугайтесь, если я восстану"
,,"И не пугайтесь, если я восстану",Восставшие иззада 😂😂😂
,"И не пугайтесь, если я восстану",Восставшие иззада 😂😂😂,Ремейк😂
,,,Мне за жопу страшно
,,Мне за жопу страшно,"Не переживай за мою, с ней все хорошо, узенькая
А вот за свою , сам решай"
,Мне за жопу страшно,"Не переживай за мою, с ней все хорошо, узенькая
А вот за свою , сам решай",Хахахахазахзхажахэаха
